linha_origem,Munícipios,EstacaoCodigo,Rios,Coordenadas (UTM),Altitude (m),Campanha,Periodo certificação,Ano,Data,Hora,Temp Ar,Temp Amostra,pH,Turbidez,Condutividade Eletrica,DBO,OD,OD (%),SolSuspensaoTotais,SolDissolvidosTotais,FosfatoTotal,NitrogenioTotal,NitrogenioAmoniacal,Nitratos,ColiformesTotais,AlcalinidadeTotal,CarbonoOrganicoTotal,OrtofosfatoTotal,DescargaLiquida,FosforoTotal,IQA,ColiformesTermotolerantes,Escherichia,CondutividadeEspecifica,Cloreto,Ortofosfato Dissolvido,IQA %,IQA CETESB
98,ASSIS BRASIL,13438000,ACRE,,,Primeira,Sexto,2019,2019-02-26,09:15,26.55,27.9,6.98,152.3,,,6.77,,,68.1,,,1.1,,,,,,,0.002,,<1,,175.2,,,,
99,BRASILEIA,13459000,ACRE,,,Primeira,Sexto,2019,2019-02-26, 13:40:00,28.03,27.65,6.7,311.29999,,,6.7,,,91.9,,,0.04,,,,,,,0.002,,<1,,75.4,,,,
100,XAPURI,13550001,ACRE,,,Primeira,Sexto,2019,2019-02-27, 08:45:00,24.46,26.32,6.67,560.54999,,,5.95,,,22.7,,,0.98,,,,,,,2.11,,<1,,50.8,,,,
101,SENADOR GUIOMARD,13770000,IQUIRI,,,Primeira,Sexto,2019,2019-02-28,09:15,25.39,25.21,5.74,32.2,,,4.59,,,7.84,,,1.2,,,,,,,0.003,,,,12.5,,,,
102,RIO BRANCO,13601000,ACRE,,,Primeira,Sexto,2019,2019-02-28, 11:35:00,29.16,26.79,5.94,230.89999,,,5.38,,,19.22,,,0.88,,,,,,,0.052,,<1,,41.2,,,,
103,PORTO ACRE ,13610001,ACRE,,,Segunda,Sexto,2019,2019-05-02,14:14,29.8,28.1,6.02,269.07999,,,6.01,,,20,,,0.932,,,,,,477,0.13,,<1,,42.6,,,,
104,PLACIDO DE CASTRO,15324300,IQUIRI,,,Segunda,Sexto,2019,2019-05-03,11:00,32.8,26.4,6.02,44.82,,,4.69,,,8.94,,,0.2,,,,,,242,0.031,,,,16.9,,,,
105,ASSIS BRASIL,13438000,ACRE,,,Segunda,Sexto,2019,2019-05-06,15:05,33.9,27.96,7.21,596.90002,,,6.48,,,39.9,,,0.9,,,,,,,0.002,,<1,,91.3,,,,
106,BRASILEIA,13459000,ACRE,,,Segunda,Sexto,2019,2019-05-07, 09:12:00,29.44,26.84,7.1,700.27002,,,6.18,,,36.7,,,0.04,,,,,,,0.02,,<1,,90.7,,,,
107,MARECHAL THAUMATURGO ,12369000,JURUA,,,Segunda,Sexto,2019,2019-05-07,10:00,32.44,27.93,7.53,317.10001,,,6.35,,,16.7,,,0.04,,,,,,,0.061,,,,178.7,,,,
108,XAPURI,13550001,ACRE,,,Segunda,Sexto,2019,2019-05-08, 08:50:00,27.7,26.93,7.11,383.89999,,,6.54,,,28.9,,,0.79,,,,,,,1.86,,<1,,73.1,,,,
109,SENADOR GUIOMARD,13770000,IQUIRI,,,Segunda,Sexto,2019,2019-05-09,09:24,28.71,25.77,5.99,31.8,,,5.51,,,9.55,,,1.3,,,,,,,0.006,,,,16.4,,,,
110,PORTO WALTER ,12389000,JURUA,,,Segunda,Sexto,2019,2019-05-09,09:30,30.4,28.35,7.33,340.5,,,5.96,,,64.2,,,0.012,,,,,,,0.002,,,,163.2,,,,
111,RIO BRANCO,13601000,ACRE,,,Segunda,Sexto,2019,2019-05-10,10:14,28.89,27.06,6.6,233.8,,,6.15,,,17.57,,,0.26,,,,,,,0.04,,<1,,45.4,,,,
112,MANCIO LIMA,12430000,MOA,,,Segunda,Sexto,2019,2019-05-10,15:00,29.46,26.72,6.36,13.52,,,3.86,,,14.77,,,0.11,,,,,,,0.002,,,,34.2,,,,
113,CRUZEIRO DO SUL ,12500004,JURUA,,,Segunda,Sexto,2019,2019-05-11,09:23,28.04,27.89,7.04,166.35001,,,5.02,,,38.9,,,0.3,,,,,,,0.07,,,,97.6,,,,
114,TARAUACA,12600002,TARAUCA,,,Segunda,Sexto,2019,2019-05-14,16:20,22.6,26.35,7.61,240.23,,,6.51,,,91.9,,,0.08,,,,,,,0.05,,,,182.9,,,,
115,FEIJO,12660000,ENVIRA,,,Segunda,Sexto,2019,2019-05-16,09:30,26.76,27.68,7.96,119.8,,,6.69,,,169,,,0.04,,,,,,,0.002,,,,448.5,,,,
116,MANOEL URBANO ,13190000,PURUS,,,Segunda,Sexto,2019,2019-05-17, 12:38:00,26.66,27,7.58,230.14999,,,6.5,,,70.4,,,1.34,,,,,,,0.212,,,,223.2,,,,
117,SENA MADUREIRA,13408000,IACO,,,Segunda,Sexto,2019,2019-05-17, 15:48:00,27.83,26.89,7.27,304.04999,,,6.62,,,28.1,,,1.31,,,,,,,0.002,,,,158.2,,,,
118,JORDAO,12557000,TARAUACA,,,Segunda,Sexto,2019,2019-05-18,08:45,28.03,25.15,8.25,30.61,,,7.83,,,176.8,,,0.22,,,,,,,0.002,,,,451.6,,,,
119,FEIJO,12660000,ENVIRA,,,Primeira,Setimo,2019,2019-08-05,10:00,20.2,25.17,8.23,36.42,,6,7.67,,0.0324,68.3,,1.9,1.2,0.03,1,,,5,,0.022,,,,489.8,,5,,
120,TARAUACA,12600002,TARAUCA,,,Primeira,Setimo,2019,2019-08-05,12:10,21.53,24.58,8.18,36.19,,7,8.39,,0.0316,127.7,,1.2,0.8,0.09,3,,,12,,0.002,,,,361.4,,12,,
121,MANCIO LIMA,12430000,MOA,,,Primeira,Setimo,2019,2019-08-06,09:30,22.4,24.26,6.89,50.7,,,6.57,,0.0223,134.12,,1.6,1.6,0.11,10,,,9.1,,0.021,,,,58.5,,9.1,,
122,CRUZEIRO DO SUL ,12500004,JURUA,,,Primeira,Setimo,2019,2019-08-06,11:06,25.05,25.18,7.57,31.5,,7,7.42,,0.01812,138.2,,2,2,0.08,6.8,,,7.3,,0.121,,,,210.5,,7.3,,
123,MARECHAL THAUMATURGO ,12369000,JURUA,,,Primeira,Setimo,2019,2019-08-09,08:43,26.43,26.44,8.15,16.18,,5,7.07,,0.02142,99.1,,0.6,0.5,0.06,7.4,,,8.1,,0.031,,,,439.3,,8.1,,
124,PORTO WALTER ,12389000,JURUA,,,Primeira,Setimo,2019,2019-08-14,10:00,26.1,28.53,7.82,43.66,,8,6.48,,0.0252,110.2,,0.5,0.5,0.08,3,,,6.1,,0.002,,,,378.1,,6.1,,
125,MANOEL URBANO ,13190000,PURUS,,,Primeira,Setimo,2019,2019-08-16,15:00,31.5,28.65,8.22,27.65,,7,7.94,,0.0211,130.10001,,1.9,1.6,0.02,16.9,,,7.4,,0.031,,,,427,,7.4,,
126,SENA MADUREIRA,13408000,IACO,,,Primeira,Setimo,2019,2019-08-16,17:00,25.1,28.68,8.29,41.2,,7,8.36,,0.0156,112.16,,2.2,1.8,0.1,91.4,,,9.3,,0.026,,,,458.6,,9.3,,
